log_pl_id, uid, eid, log_ts, gid, cid, vid, client_ip, pl_detail, cd_id, sessionid, client_ts, host_domain, referrer_host, referrer_path, multiplayer_seqid
811, 81D7D654-F095-855B-B521-CB67F9A3996F, 0, 1653337740, 202207, 2, 1, 222.217.81.213, {"user_agent":"Mozilla\/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit\/605.1.15 (KHTML, like Gecko) Mobile\/15E148 MicroMessenger\/8.0.22(0x18001623) NetType\/WIFI Language\/zh_CN"}, 0, AB60A5F1-4DBE-1D83-963A-94F816F99436, 1653340207382, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
812, 321CDC91-E981-D96B-C81E-9980CD9C877F, 0, 1653337831, 202207, 2, 1, 222.217.81.213, {"user_agent":"Mozilla\/5.0 (Windows NT 6.1; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/81.0.4044.138 Safari\/537.36 NetType\/WIFI MicroMessenger\/7.0.20.1781(0x6700143B) WindowsWechat(0x6304052d)"}, 0, 95DFA1E2-D323-E172-960A-1B1697C126EA, 1653340297916, NULL, v6p9d9t4.ssl.hwcdn.net, /html/5841321/bin/index.html, 0
813, DE333DA7-DF8F-C5E8-52AF-C16F2B6DD4D0, 0, 1653338162, 202207, 2, 1, 73.221.139.218, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, 935973FB-4F90-B387-6C75-BC5712A8B54E, 1653340627152, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
814, 321CDC91-E981-D96B-C81E-9980CD9C877F, 0, 1653338399, 202207, 2, 1, 222.217.81.213, {"user_agent":"Mozilla\/5.0 (Windows NT 6.1; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/81.0.4044.138 Safari\/537.36 NetType\/WIFI MicroMessenger\/7.0.20.1781(0x6700143B) WindowsWechat(0x6304052d)"}, 0, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340866269, NULL, v6p9d9t4.ssl.hwcdn.net, /html/5841321/bin/index.html, 0
815, 670B5C08-8B5D-48E3-BEAC-892F6C0CC8B0, 0, 1653339038, 202207, 2, 1, 222.217.81.213, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.64 Safari\/537.36 Edg\/101.0.1210.53"}, 0, 0A472081-126A-0282-83B4-BEB4C07B9D28, 1653341505810, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
816, 321CDC91-E981-D96B-C81E-9980CD9C877F, 0, 1653339886, 202207, 2, 1, 222.217.81.213, {"user_agent":"Mozilla\/5.0 (Windows NT 6.1; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/81.0.4044.138 Safari\/537.36 NetType\/WIFI MicroMessenger\/7.0.20.1781(0x6700143B) WindowsWechat(0x6304052d)"}, 0, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 1653342353275, NULL, v6p9d9t4.ssl.hwcdn.net, /html/5841321/bin/index.html, 0
817, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 0, 1653340348, 202207, 2, 1, 174.21.92.87, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:100.0) Gecko\/20100101 Firefox\/100.0"}, 0, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 1653342814037, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
818, F6B70F75-8C2D-C86A-06E1-50DBA4C3D8C8, 0, 1653341255, 202207, 2, 1, 172.58.43.50, {"user_agent":"Mozilla\/5.0 (Linux; Android 11; motorola razr (2020)) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.61 Mobile Safari\/537.36"}, 0, B3E405A4-AD6F-90E2-C329-97B704D8BC7F, 1653343722345, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
820, D653F5B6-B9D0-5C54-93C2-082522EDDAE1, 0, 1653341915, 202207, 2, 1, 172.56.104.65, {"user_agent":"Mozilla\/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit\/605.1.15 (KHTML, like Gecko) Version\/15.1 Mobile\/15E148 Safari\/604.1"}, 0, B12B5742-2AFB-835D-649C-C18F789C2304, 1653344382253, NULL, v6p9d9t4.ssl.hwcdn.net, /html/5841321/bin/index.html, 0
821, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 0, 1653342133, 202207, 2, 1, 205.175.106.124, {"user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/101.0.4951.67 Safari\/537.36"}, 0, 8EBFF18D-BE10-3715-A56B-170F18828207, 1653344600209, NULL, v6p9d9t4.ssl.hwcdn.net, /, 0
