log_q_id, qid, log_q_ts, uid, gid, vid, cid, dqid, parent_dqid, q_detail, ae_seq_id, q_s_id, g_s_id, tid, cd_id, quest_seqid, qaction_seqid, session_seqid, sessionid, client_ts, foreign_game_id, multiplayer_seqid, quest_hash
4623, 1, 1653340874, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 159EA0C7-DAD7-A638-DE39-AA7962413AD8, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 4, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340873902, 0, 0, NULL
4624, 1, 1653340887, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 159EA0C7-DAD7-A638-DE39-AA7962413AD8, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 6, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340886846, 0, 0, NULL
4625, 1, 1653340890, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 3D0A0234-FDA6-F343-9C39-B31A06984F35, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 8, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340889028, 0, 0, NULL
4626, 1, 1653340891, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 3D0A0234-FDA6-F343-9C39-B31A06984F35, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 10, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340891429, 0, 0, NULL
4627, 2, 1653340893, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 9608D042-5663-6F32-2636-5D71D4767718, NULL, NULL, NULL, 1, 1, 1, 0, 3, 1, 12, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340893596, 0, 0, NULL
4628, 2, 1653340990, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 9608D042-5663-6F32-2636-5D71D4767718, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 108, 119, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653340990300, 0, 0, NULL
4629, 2, 1653341014, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 109, 121, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653341014197, 0, 0, NULL
4630, 1, 1653341015, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, E96EC449-78D1-4E3D-C2C5-B827B2F00D5B, NULL, NULL, NULL, 1, 1, 1, 0, 4, 1, 123, 93B3CC22-3F0A-C075-1C7E-E007FE0AAC62, 1653341015164, 0, 0, NULL
4631, 1, 1653341518, 670B5C08-8B5D-48E3-BEAC-892F6C0CC8B0, 202207, 1, 2, 89500BFD-8A23-7668-8844-B7341A52B404, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 4, 0A472081-126A-0282-83B4-BEB4C07B9D28, 1653341517867, 0, 0, NULL
4632, 1, 1653341611, 670B5C08-8B5D-48E3-BEAC-892F6C0CC8B0, 202207, 1, 2, 89500BFD-8A23-7668-8844-B7341A52B404, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 96, 99, 0A472081-126A-0282-83B4-BEB4C07B9D28, 1653341611148, 0, 0, NULL
4633, 1, 1653341677, 670B5C08-8B5D-48E3-BEAC-892F6C0CC8B0, 202207, 1, 2, NULL, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 185, 188, 0A472081-126A-0282-83B4-BEB4C07B9D28, 1653341677047, 0, 0, NULL
4634, 1, 1653342509, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 26A8F5CD-3652-3D91-EEED-0B65F0573E95, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 87, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 1653342509243, 0, 0, NULL
4635, 1, 1653342537, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, 26A8F5CD-3652-3D91-EEED-0B65F0573E95, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 2, 89, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 1653342537103, 0, 0, NULL
4636, 1, 1653342541, 321CDC91-E981-D96B-C81E-9980CD9C877F, 202207, 1, 2, DD02F532-AADC-D49A-EE39-1C89766ACED4, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 91, BF5D80B5-9E87-F70D-2313-F7635A7A12A7, 1653342540640, 0, 0, NULL
4637, 1, 1653343106, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 202207, 1, 2, 5063C8A7-C1A8-730D-EC1B-57325EC2F801, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 200, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 1653343104932, 0, 0, NULL
4638, 1, 1653343322, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 202207, 1, 2, 288355D5-3461-3797-FB4E-024B21BC1E7D, NULL, NULL, NULL, 1, 1, 1, 0, 2, 1, 204, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 1653343321208, 0, 0, NULL
4639, 1, 1653343478, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 202207, 1, 2, 288355D5-3461-3797-FB4E-024B21BC1E7D, NULL, {"won":true}, NULL, 0, 1, 1, 0, 0, 115, 318, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 1653343476604, 0, 0, NULL
4640, 1, 1653343804, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 202207, 1, 2, NULL, NULL, {"won":false}, NULL, 0, 1, 1, 0, 0, 149, 353, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 1653343802332, 0, 0, NULL
4641, 1, 1653343806, 4CC83D75-13A5-469A-FD39-EC84533A10BE, 202207, 1, 2, 883D8FCC-BE64-4A87-C5FF-995EB6F3C3F5, NULL, NULL, NULL, 1, 1, 1, 0, 3, 1, 355, 14740B6B-27F4-4845-AB9A-11932F3A09E2, 1653343805323, 0, 0, NULL
4642, 1, 1653344727, 8EC070F8-3E54-E2D9-7216-6BEE333BBDD2, 202207, 1, 2, AC6A3462-3AFE-FFA1-9000-869D939E1F78, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 4, A341A352-20EE-D5E4-73FF-0A88B4AA7CAF, 1653344727402, 0, 0, NULL
4643, 3, 1653344913, ACC89A7B-2E91-D85C-C9FA-37AE8ACE1670, 202207, 1, 2, BB03342F-F8C6-AA4F-9958-28965540C70E, NULL, NULL, NULL, 1, 1, 1, 0, 1, 1, 287, 8EBFF18D-BE10-3715-A56B-170F18828207, 1653344912373, 0, 0, NULL
