log_no_quest_id, gid, cid, log_ts, aid, a_detail, uid, vid, sessionid, session_seqid, client_ts, multiplayer_uid, multiplayer_seqid
1684, 202207, 3, 1654193997, 3, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, D4F7B911-B5B3-588A-B6F5-A2E168BA6EE4, 1, 1654193998052, NULL, 0
1697, 202207, 3, 1654195121, 3, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 8B59808D-8519-FA2B-75FD-3B2DACF7666E, 1, 1654195122081, NULL, 0
1698, 202207, 3, 1654195313, 3, [], DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 1, D108992D-3F2A-C7D6-B08B-5454307CD2C0, 1, 1654195313845, NULL, 0
1699, 202207, 3, 1654195336, 2, {"version":"B"}, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 1, 0F4054B2-0BD1-0040-2A26-57D0F1A0ACEC, 1, 1654195336316, NULL, 0
1701, 202207, 3, 1654195363, 2, {"version":"B"}, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 1, C3644438-A0DD-7B80-B4BA-6B072C4195CE, 1, 1654195363196, NULL, 0
1702, 202207, 3, 1654195372, 3, {"version":"B"}, DB98897C-9B94-A72D-1DD7-DE2B7D1521C3, 1, 0D1D4585-2DA2-D720-B8C4-1FFFC2015205, 1, 1654195372008, NULL, 0
1703, 202207, 3, 1654195421, 2, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 9547BE94-EB3E-A96B-B1AF-76DF407F5AFB, 1, 1654195421880, NULL, 0
1704, 202207, 3, 1654195435, 3, {"version":"B"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 2DFB1725-4D7D-251C-5906-F070B02BE86D, 1, 1654195436207, NULL, 0
1706, 202207, 3, 1654195546, 2, [], BAB22DA1-A185-B895-057A-C52E7719C98B, 1, 6B1BFCC6-282A-41A2-E2F9-999449163A87, 1, 1654195544092, NULL, 0
1707, 202207, 3, 1654195704, 2, [], 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, F8009FC5-B082-96E8-51E5-DE43AF449926, 1, 1654195704195, NULL, 0
1708, 202207, 3, 1654195729, 3, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, DD2BD868-69ED-DDD3-BC1B-4875B3290867, 1, 1654195729886, NULL, 0
1709, 202207, 3, 1654195730, 3, [], 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 8D6D478A-38AA-79F5-066B-6231C909F95E, 1, 1654195730561, NULL, 0
